,Unnamed: 0,Company ID,Companies,Revenue,Business Status,Revenue Growth %,Last Financing Size,Website,LinkedIn URL,Last Financing Valuation,Total Patent Documents,Active Patent Documents,Acquirers,Active Investors,Total Clinical Trials,Year Founded,Business Status Rank,Age,Age Score,Revenue QRank,Revenue Growth % QRank,Last Financing Size QRank,Last Financing Valuation QRank,Total Patent Documents QRank,Active Patent Documents QRank,Total Clinical Trials QRank,Weighted Company Score,Company Score,total_investor_score,avg_investor_score,Final Score,Company Maturity
193,193,55550-53,Sage Products,430.0,Generating Revenue,13.01,2775.0,www.sageproducts.com,http://www.linkedin.com/company/strykersage,2775.0,710.0,470.0,Stryker,Unknown,11.0,1971.0,8,54.0,4,9.0,5.0,10.0,10.0,9.0,9.0,5.0,144.5,91.53094462540716,97.25988333781017,97.25988333781017,94.39541398160867,94.39541398160867
176,176,53295-58,Physio-Control,504.0,Profitable,6.0,1299.0,www.physio-control.com,Unknown,1299.0,1405.0,809.0,Stryker,Unknown,3.0,1955.0,10,70.0,4,9.0,3.0,10.0,10.0,9.0,9.0,2.0,139.5,88.27361563517914,197.6746015091265,98.83730075456324,93.55545819487119,93.55545819487119
45,45,41344-48,Invitrogen,3842.31,Profitable,0.85,15303.8,www.lifetechnologies.com,Unknown,15303.8,10009.0,5159.0,Thermo Fisher Scientific,Unknown,1.0,1987.0,10,38.0,4,10.0,1.0,10.0,10.0,9.0,9.0,1.0,136.5,86.31921824104234,98.17069594759997,98.17069594759997,92.24495709432115,92.24495709432115
233,233,54185-68,HRA Pharma,303.4,Generating Revenue,0.0,1953.12,www.hra-pharma.com,Unknown,1953.12,188.0,104.0,Perrigo Company,Unknown,17.0,1996.0,8,29.0,4,9.0,0.0,10.0,10.0,8.0,7.0,6.0,137.5,86.97068403908794,284.450095094323,94.81669836477433,90.89369120193113,90.89369120193113
122,122,51404-86,BTG,914.1,Profitable,11.1,3619.0,btgplc.com,Unknown,3619.0,7698.0,1861.0,Boston Scientific,Unknown,0.0,1948.0,10,77.0,4,9.0,4.0,10.0,10.0,9.0,9.0,0.0,135.0,85.34201954397393,189.68330768200417,94.84165384100208,90.09183669248802,90.09183669248802
177,177,58444-39,Aclara Technologies,500.0,Profitable,0.0,1100.0,www.aclara.com,http://www.linkedin.com/company/aclara,1100.0,807.0,565.0,Hubbell (Electrical Equipment),Unknown,0.0,1972.0,10,53.0,4,9.0,0.0,10.0,10.0,9.0,9.0,0.0,129.0,81.43322475570032,97.65461801178624,97.65461801178624,89.54392138374328,89.54392138374328
34,34,10248-31,Nalco Water,4607.0,Generating Revenue,11.29,8100.0,www.nalco.com,Unknown,8100.0,366.0,126.0,Ecolab,Unknown,0.0,1928.0,8,97.0,4,10.0,4.0,10.0,10.0,8.0,8.0,0.0,129.0,81.43322475570032,94.77864595492927,94.77864595492927,88.1059353553148,88.1059353553148
40,40,24761-35,Worldpay,4110.9,Profitable,3.89,24250.0,www.worldpay.com,http://www.linkedin.com/company/worldpay,24250.0,809.0,628.0,Unknown,"Adams Street Partners, Fidelity National Information Services, GTCR, Venture Worx (US)",0.0,1993.0,10,32.0,4,10.0,2.0,10.0,10.0,9.0,9.0,0.0,135.0,85.34201954397393,442.5246579827068,88.50493159654135,86.92347557025764,86.92347557025764
253,253,13282-66,inContact,254.7,Generating Revenue,21.34,1240.67,www.incontact.com,Unknown,1240.67,177.0,158.0,NICE (Business/Productivity Software),Unknown,0.0,1997.0,8,28.0,4,8.0,6.0,10.0,10.0,8.0,8.0,0.0,126.0,79.47882736156352,93.19724920693702,93.19724920693702,86.33803828425027,86.33803828425027
322,322,41956-75,Zygo (Electrical Equipment),168.01,Profitable,9.31,363.7,www.zygo.com,http://www.linkedin.com/company/zygo-corporation,363.7,1297.0,629.0,AMETEK,Unknown,0.0,1970.0,10,55.0,4,8.0,4.0,9.0,9.0,9.0,9.0,0.0,127.5,80.45602605863192,91.60873546187908,91.60873546187908,86.0323807602555,86.0323807602555
167,167,11979-91,Kyphon,530.03,Generating Revenue,39.12,4203.0,www.kyphon.com,http://www.linkedin.com/company/kyphon,4203.0,0.0,0.0,Medtronic,Unknown,13.0,1994.0,8,31.0,4,9.0,8.0,10.0,10.0,0.0,0.0,6.0,134.0,84.69055374592833,257.93062332054535,85.97687444018179,85.33371409305505,85.33371409305505
