,Unnamed: 0,Company ID,Companies,Revenue,Business Status,Revenue Growth %,Last Financing Size,Website,LinkedIn URL,Last Financing Valuation,Total Patent Documents,Active Patent Documents,Acquirers,Active Investors,Total Clinical Trials,Year Founded,Business Status Rank,Age,Age Score,Revenue QRank,Revenue Growth % QRank,Last Financing Size QRank,Last Financing Valuation QRank,Total Patent Documents QRank,Active Patent Documents QRank,Total Clinical Trials QRank,Weighted Company Score,Company Score
0,0,10831-42,McKesson (NYS: MCK),359051.0,Profitable,16.22,2000.0,www.mckesson.com,http://www.linkedin.com/company/mckesson,0.0,388.0,177.0,Unknown,Unknown,0.0,1832.0,10,193.0,4,10.0,6.0,10.0,0.0,8.0,8.0,0.0,114.0,71.66123778501628
1,1,52120-00,Tencent Holdings (HKG: 00700),92015.98,Profitable,8.41,4150.0,www.tencent.com,http://www.linkedin.com/company/tencentglobal,0.0,23859.0,16013.0,Unknown,"DST Global, Hillhouse Investment Group, Knickerbocker Capital (New York), Lippo Group",0.0,1998.0,10,27.0,4,10.0,3.0,10.0,0.0,9.0,9.0,0.0,111.5,70.03257328990227
2,2,10612-54,AstraZeneca (LON: AZN),54982.0,Profitable,15.48,5000.0,www.astrazeneca.com,http://www.linkedin.com/company/astrazeneca,0.0,29857.0,7710.0,Unknown,Unknown,4530.0,1913.0,10,112.0,4,10.0,6.0,10.0,0.0,9.0,9.0,7.0,137.0,86.64495114006515
3,3,10592-11,HP (NYS: HPQ),53878.0,Profitable,1.46,1000.0,www.hp.com,http://www.linkedin.com/company/hp,0.0,38063.0,12014.0,Unknown,Berkshire Hathaway,1.0,1939.0,10,86.0,4,10.0,1.0,9.0,0.0,9.0,9.0,1.0,109.5,68.72964169381108
4,4,10035-64,Intel (NAS: INTC),53044.0,Generating Revenue/Not Profitable,-3.97,5000.0,www.intel.com,http://www.linkedin.com/company/intel-corporation,0.0,161897.0,84745.0,Unknown,Unknown,10.0,1968.0,9,57.0,4,10.0,0.0,10.0,0.0,9.0,9.0,5.0,118.5,74.59283387622149
5,5,11511-37,Thermo Fisher Scientific (NYS: TMO),42898.0,Profitable,0.96,2500.0,www.thermofisher.com,http://www.linkedin.com/company/thermo-fisher-scientific,0.0,8990.0,4884.0,Unknown,Unknown,33.0,1956.0,10,69.0,4,10.0,1.0,10.0,0.0,9.0,9.0,7.0,129.5,81.75895765472312
6,6,10325-35,Honeywell (NAS: HON),39215.0,Profitable,6.27,5000.0,www.honeywell.com,http://www.linkedin.com/company/honeywell,0.0,111353.0,41181.0,Unknown,Elliott Investment Management,0.0,1885.0,10,140.0,4,10.0,3.0,10.0,0.0,9.0,9.0,0.0,111.5,70.03257328990227
7,7,41321-80,CVS Caremark,36750.2,Generating Revenue,11.39,26500.0,www.caremark.com,http://www.linkedin.com/company/cvscaremark,26500.0,0.0,0.0,CVS Health,Unknown,0.0,1993.0,8,32.0,4,10.0,4.0,10.0,10.0,0.0,0.0,0.0,113.0,71.00977198697068
8,8,42383-35,Heraeus Group,27928.69,Generating Revenue,-11.89,0.0,www.heraeus-group.com,http://www.linkedin.com/company/heraeus,0.0,11069.0,5562.0,Unknown,Unknown,0.0,1986.0,8,39.0,4,10.0,0.0,0.0,0.0,9.0,9.0,0.0,80.0,49.51140065146579
9,9,41413-96,Komatsu (TKS: 6301),26916.6,Profitable,6.19,600.0,komatsu.jp,http://www.linkedin.com/company/komatsu,0.0,45787.0,18618.0,Unknown,Unknown,0.0,1921.0,10,104.0,4,10.0,3.0,9.0,0.0,9.0,9.0,0.0,109.5,68.72964169381108
10,10,10600-75,Macy's (NYS: M),23006.0,Profitable,-3.6,0.0,macysinc.com,http://www.linkedin.com/company/macy,6860.0,21.0,3.0,Unknown,"Appaloosa Management, Arkhouse, Brigade Capital Management, Greenlight Capital, JANA Partners",0.0,1857.0,10,168.0,4,10.0,0.0,0.0,10.0,5.0,1.0,0.0,102.0,63.84364820846905
11,11,25348-33,"Becton, Dickinson and Company (NYS: BDX)",20867.0,Profitable,5.84,2549.76,www.bd.com,http://www.linkedin.com/company/bd1,0.0,37688.0,20772.0,Unknown,Unknown,79.0,1897.0,10,128.0,4,10.0,3.0,10.0,0.0,9.0,9.0,7.0,132.5,83.71335504885992
12,12,11198-08,General Mills (Food Products) (NYS: GIS),19644.3,Profitable,-2.62,1500.0,www.generalmills.com,http://www.linkedin.com/company/general-mills,0.0,7017.0,1559.0,Unknown,Unknown,25.0,1928.0,10,97.0,4,10.0,0.0,10.0,0.0,9.0,9.0,6.0,125.0,78.82736156351791
13,13,119316-25,Real Capital Analytics,18700.0,Generating Revenue,0.0,948.7,www.rcanalytics.com,Unknown,948.7,0.0,0.0,MSCI,Unknown,0.0,2000.0,8,25.0,4,10.0,0.0,9.0,9.0,0.0,0.0,0.0,102.5,64.16938110749184
14,14,11795-14,GE Oil & Gas,18200.0,Generating Revenue,34.0,0.0,www.geoilandgas.com,Unknown,0.0,70.0,58.0,Unknown,Unknown,0.0,2016.0,8,9.0,10,10.0,8.0,0.0,0.0,7.0,7.0,0.0,94.0,58.63192182410423
15,15,11774-17,Emerson Electric (NYS: EMR),17607.0,Profitable,6.52,0.0,www.emerson.com,http://www.linkedin.com/company/emerson,0.0,19913.0,10256.0,Unknown,Unknown,0.0,1890.0,10,135.0,4,10.0,3.0,0.0,0.0,9.0,9.0,0.0,91.5,57.00325732899022
16,16,42146-38,Sanyo Electric Company,17498.33,Generating Revenue,0.0,3097.35,www.sanyo.com,Unknown,10056.34,179088.0,54061.0,Panasonic Holdings,Unknown,0.0,1947.0,8,78.0,4,10.0,0.0,10.0,10.0,9.0,9.0,0.0,125.0,78.82736156351791
17,17,10813-06,TE Connectivity (NYS: TEL),16026.0,Profitable,1.23,900.0,www.te.com,http://www.linkedin.com/company/te-connectivity,0.0,46480.0,17155.0,Unknown,Unknown,0.0,1941.0,10,84.0,4,10.0,1.0,9.0,0.0,9.0,9.0,0.0,106.5,66.77524429967426
18,18,10292-23,Illinois Tool Works (NYS: ITW),15764.0,Profitable,-1.85,1000.0,www.itw.com,http://www.linkedin.com/company/illinoistoolworks,0.0,45593.0,21032.0,Unknown,Unknown,0.0,1912.0,10,113.0,4,10.0,0.0,9.0,0.0,9.0,9.0,0.0,105.0,65.79804560260585
19,19,40628-62,Ecolab (NYS: ECL),15684.5,Profitable,1.19,500.0,www.ecolab.com,http://www.linkedin.com/company/ecolab,0.0,16318.0,9778.0,Unknown,"Cascade Investment, Gates Foundation",0.0,1923.0,10,102.0,4,10.0,1.0,9.0,0.0,9.0,9.0,0.0,106.5,66.77524429967426
20,20,10574-74,Baxter International (NYS: BAX),11889.0,Generating Revenue/Not Profitable,3.19,7800.0,www.baxter.com,http://www.linkedin.com/company/baxter-healthcare,0.0,21255.0,7186.0,Unknown,Unknown,338.0,1931.0,9,94.0,4,10.0,2.0,10.0,0.0,9.0,9.0,7.0,127.5,80.45602605863192
21,21,12049-84,Solectron,11788.4,Profitable,17.21,3600.0,Unknown,http://www.linkedin.com/company/solectron,3600.0,18.0,4.0,Flex (BPO/Outsource Services),Norwest Equity Partners,0.0,1977.0,10,48.0,4,10.0,6.0,10.0,10.0,5.0,2.0,0.0,131.5,83.06188925081433
22,22,11590-12,Motorola Solutions (NYS: MSI),10957.0,Profitable,7.45,1300.0,www.motorolasolutions.com,http://www.linkedin.com/company/motorolasolutions,0.0,67086.0,22484.0,Unknown,Unknown,0.0,1928.0,10,97.0,4,10.0,3.0,10.0,0.0,9.0,9.0,0.0,111.5,70.03257328990227
23,23,41339-53,Analog Devices (NAS: ADI),9818.66,Profitable,-6.17,1100.0,www.analog.com,http://www.linkedin.com/company/analog-devices,0.0,10235.0,6332.0,Unknown,Unknown,0.0,1965.0,10,60.0,4,10.0,0.0,10.0,0.0,9.0,9.0,0.0,107.0,67.10097719869707
24,24,10010-89,Broadcom,8484.0,Profitable,1.62,37000.0,Unknown,Unknown,37000.0,1.0,0.0,Broadcom (General Purpose Semiconductors),Unknown,0.0,1991.0,10,34.0,4,10.0,1.0,10.0,10.0,1.0,0.0,0.0,117.0,73.61563517915309
